pgc,Name,RA,DE,GLong,GLat,SGL,SGB,Ty,B_t,K_t,lgL_K,Vhel,Vls,D_i,eDi,PGC1,PGC1+,Ng,gGLong,gGLat,gSGL,gSGB,gK_t,glgL_K,gVh,gVls,gND,gD,geD,gsigL,gsigV,gR2t,gRdyn,gMassL,gMassdyn,SGX,SGY,SGZ
66113,ESO286-050,316.6705,-42.5570,358.7906,-42.3135,232.5114,24.3395,-3.4,13.52,10.26,10.30,2672,2653,0.00,0,66113,66113,1,358.7906,-42.3135,232.5114,24.3395,10.26,10.30,2672,2653,0,0.00,0,73,0,0.198,,11.895,,-19.62,-25.57,14.58
66122,ESO464-023,316.7326,-30.0949,15.4399,-41.1337,241.1867,34.2579,8.0,16.31,14.29,8.68,2553,2603,0.00,0,66122,66122,1,15.4399,-41.1337,241.1867,34.2579,14.29,8.68,2553,2603,0,0.00,0,33,0,0.089,,10.844,,-13.83,-25.13,19.54
66127,ESO402-006,316.7638,-36.7432,6.6390,-42.1129,236.3946,29.0062,4.7,15.31,13.06,9.16,2570,2583,0.00,0,66127,66127,1,6.6390,-42.1129,236.3946,29.0062,13.06,9.16,2570,2583,0,0.00,0,40,0,0.107,,11.090,,-16.67,-25.09,16.70
66142,ESO187-051,316.8865,-54.9525,342.2022,-41.2461,225.3207,13.9614,9.0,14.42,12.54,8.77,1382,1296,17.86,25,66142,66142,1,342.2022,-41.2461,225.3207,13.9614,12.54,8.77,1382,1296,1,17.86,25,34,0,0.092,,10.891,,-12.19,-12.32,4.31
66208,IC5084,317.3120,-63.2900,331.5573,-39.3185,220.9413,6.8176,2.8,13.11,9.31,10.82,3168,3039,0.00,0,66530,69713,6,330.6947,-39.6764,221.1327,6.0861,7.52,11.54,3236,3104,0,0.00,0,211,78,0.571,0.557,13.272,12.486,-30.98,-26.87,4.90
66224,NGC7022,317.3967,-49.3037,349.6298,-42.4324,228.8412,18.4988,-2.0,13.86,10.52,10.05,2287,2231,0.00,0,66224,66549,1,349.6298,-42.4324,228.8412,18.4988,10.52,10.05,2287,2231,0,0.00,0,62,0,0.168,,11.677,,-18.57,-21.24,9.44
66225,UGC11689,317.4038,66.1700,103.0171,12.3109,10.6193,34.8503,3.1,12.37,9.53,10.76,2888,3194,0.00,0,66225,66225,1,103.0171,12.3109,10.6193,34.8503,9.53,10.76,2888,3194,0,0.00,0,106,0,0.287,,12.375,,34.35,6.44,24.34
66236,ESO286-063,317.4683,-45.5276,354.7375,-42.8053,231.1684,21.5783,4.0,13.37,10.82,10.01,2463,2428,0.00,0,66236,66236,1,354.7375,-42.8053,231.1684,21.5783,10.82,10.01,2463,2428,0,0.00,0,60,0,0.163,,11.640,,-18.88,-23.45,11.91
66239,ESO342-013,317.5021,-37.5038,5.6778,-42.7625,236.4073,28.0445,1.0,13.40,11.11,9.96,2629,2638,19.86,14,66239,66239,1,5.6778,-42.7625,236.4073,28.0445,11.11,9.96,2629,2638,1,19.86,14,59,0,0.159,,11.606,,-9.70,-14.60,9.34
66242,PGC066242,317.5212,-3.7016,46.7137,-32.3131,269.1116,51.3618,4.1,13.57,10.94,9.95,2229,2413,33.42,14,66242,66242,1,46.7137,-32.3131,269.1116,51.3618,10.94,9.95,2229,2413,1,33.42,14,58,0,0.158,,11.599,,-0.33,-20.87,26.10
